crime_id,date,year,month,day,day_of_week,time,hour,city,neighborhood,crime_type,severity,latitude,longitude,victim_age,victim_gender,arrested,domestic_violence,case_status,description,month_name,quarter,hour_category,season
CR000001,2022-05-14,2022,5,14,Saturday,01:05,1,Houston,Houston - Neighborhood 9,Theft,2,29.7037,-95.3689,69.0,Female,True,False,Closed,Suspect involved in theft incident,May,2,Late Night,Spring
CR000002,2021-03-16,2021,3,16,Tuesday,22:21,22,Houston,Houston - Neighborhood 6,Assault,4,29.6804,-95.394,5.0,Unknown,False,False,Open,Report of assault at 22:21,March,1,Evening,Spring
CR000003,2022-01-10,2022,1,10,Monday,15:45,15,Chicago,Chicago - Neighborhood 5,Homicide,5,41.7939,-87.5977,12.0,Female,False,False,Closed,Suspect involved in homicide incident,January,1,Afternoon,Winter
CR000004,2023-12-08,2023,12,8,Friday,21:41,21,Los Angeles,Los Angeles - Neighborhood 2,Robbery,4,33.9643,-118.213,34.0,Unknown,False,False,Closed,Victim reported robbery,December,4,Evening,Winter
CR000005,2020-03-06,2020,3,6,Friday,18:25,18,Philadelphia,Philadelphia - Neighborhood 1,Theft,2,39.9035,-75.2278,83.0,Unknown,False,False,Closed,Suspect involved in theft incident,March,1,Evening,Spring
CR000006,2023-04-12,2023,4,12,Wednesday,11:37,11,New York,New York - Neighborhood 9,Vandalism,2,40.6899,-74.0661,,,False,False,Open,Suspect involved in vandalism incident,April,2,Morning,Spring
CR000007,2022-02-27,2022,2,27,Sunday,10:29,10,Philadelphia,Philadelphia - Neighborhood 4,Vandalism,2,39.9558,-75.0758,87.0,Female,False,True,Pending,Report of vandalism at 10:29,February,1,Morning,Winter
CR000008,2021-06-23,2021,6,23,Wednesday,22:48,22,New York,New York - Neighborhood 3,Burglary,3,40.6457,-73.9275,77.0,,False,False,Closed,Report of burglary at 22:48,June,2,Evening,Summer
CR000009,2022-01-13,2022,1,13,Thursday,20:53,20,Chicago,Chicago - Neighborhood 4,Theft,2,41.9414,-87.6821,,Male,True,False,Archived,Suspect involved in theft incident,January,1,Evening,Winter
CR000010,2020-12-04,2020,12,4,Friday,08:55,8,New York,New York - Neighborhood 8,Domestic Violence,4,40.7313,-73.9171,88.0,Female,False,True,Closed,Victim reported domestic violence,December,4,Morning,Winter
CR000011,2021-05-22,2021,5,22,Saturday,07:21,7,Los Angeles,Los Angeles - Neighborhood 5,Burglary,3,33.9542,-118.2292,7.0,Male,False,True,Pending,Suspect involved in burglary incident,May,2,Morning,Spring
CR000012,2020-09-27,2020,9,27,Sunday,17:56,17,New York,New York - Neighborhood 8,Theft,2,40.7242,-74.0155,,,False,False,Closed,Police responded to theft call,September,3,Afternoon,Fall
CR000013,2023-08-16,2023,8,16,Wednesday,04:25,4,Los Angeles,Los Angeles - Neighborhood 1,Robbery,4,34.0956,-118.1799,17.0,Female,True,False,Closed,Police responded to robbery call,August,3,Late Night,Summer
CR000014,2023-08-28,2023,8,28,Monday,23:53,23,Philadelphia,Philadelphia - Neighborhood 5,Theft,2,39.853,-75.2513,61.0,Female,False,False,Archived,Police responded to theft call,August,3,Evening,Summer
CR000015,2022-07-20,2022,7,20,Wednesday,08:44,8,New York,New York - Neighborhood 7,Assault,4,40.8015,-73.9109,,Male,False,False,Closed,Report of assault at 08:44,July,3,Morning,Summer
CR000016,2022-09-03,2022,9,3,Saturday,13:54,13,Phoenix,Phoenix - Neighborhood 1,Theft,2,33.4562,-112.1586,,,False,False,Pending,Report of theft at 13:54,September,3,Afternoon,Fall
CR000017,2023-05-02,2023,5,2,Tuesday,02:05,2,Dallas,Dallas - Neighborhood 10,Theft,2,32.7638,-96.7833,40.0,Female,False,False,Open,Victim reported theft,May,2,Late Night,Spring
CR000018,2023-06-26,2023,6,26,Monday,23:06,23,Los Angeles,Los Angeles - Neighborhood 1,Theft,2,33.9647,-118.2974,31.0,Male,True,False,Closed,Victim reported theft,June,2,Evening,Summer
CR000019,2023-02-09,2023,2,9,Thursday,08:42,8,Chicago,Chicago - Neighborhood 5,Theft,2,41.8007,-87.5544,19.0,Unknown,True,False,Closed,Suspect involved in theft incident,February,1,Morning,Winter
CR000020,2021-05-29,2021,5,29,Saturday,20:54,20,Houston,Houston - Neighborhood 5,Burglary,3,29.6702,-95.3431,16.0,Female,False,True,Open,Police responded to burglary call,May,2,Evening,Spring
CR000021,2023-11-16,2023,11,16,Thursday,20:34,20,Chicago,Chicago - Neighborhood 1,Theft,2,41.7872,-87.6562,,Male,False,False,Pending,Suspect involved in theft incident,November,4,Evening,Fall
CR000022,2022-04-12,2022,4,12,Tuesday,22:47,22,Houston,Houston - Neighborhood 6,Fraud,2,29.6909,-95.284,52.0,,False,False,Pending,Police responded to fraud call,April,2,Evening,Spring
CR000023,2021-06-30,2021,6,30,Wednesday,06:44,6,Philadelphia,Philadelphia - Neighborhood 6,Fraud,2,39.8716,-75.0956,58.0,Male,False,False,Closed,Suspect involved in fraud incident,June,2,Morning,Summer
CR000024,2021-07-25,2021,7,25,Sunday,09:32,9,Los Angeles,Los Angeles - Neighborhood 3,Vehicle Theft,3,34.0299,-118.1438,,Male,False,False,Closed,Report of vehicle theft at 09:32,July,3,Morning,Summer
CR000025,2021-10-04,2021,10,4,Monday,11:32,11,New York,New York - Neighborhood 7,Assault,4,40.6331,-73.9301,66.0,Unknown,True,True,Closed,Suspect involved in assault incident,October,4,Morning,Fall
CR000026,2021-11-07,2021,11,7,Sunday,16:42,16,Los Angeles,Los Angeles - Neighborhood 1,Domestic Violence,4,34.1196,-118.196,52.0,Unknown,False,True,Closed,Suspect involved in domestic violence incident,November,4,Afternoon,Fall
CR000027,2020-12-22,2020,12,22,Tuesday,16:19,16,Los Angeles,Los Angeles - Neighborhood 4,Robbery,4,34.0312,-118.1733,77.0,Female,False,False,Closed,Suspect involved in robbery incident,December,4,Afternoon,Winter
CR000028,2021-08-04,2021,8,4,Wednesday,14:40,14,Chicago,Chicago - Neighborhood 2,Robbery,4,41.9039,-87.7113,25.0,,False,False,Open,Report of robbery at 14:40,August,3,Afternoon,Summer
